method,budget,n_restart,exact_calls,wall_s_per_run,eps_1,target_sum_theta,fitness_mean,fitness_std,fitness_median,fitness_best_of_n,sum_theta_mean
ga_gnn_policy,16x9,10,181,1.629,1e-07,19.301,49.5046,0.5811,49.6952,49.7044,28.5901
ga_gnn_policy,16x9,10,181,1.629,1e-06,18.301,49.5881,0.2392,49.7044,49.7044,28.8684
ga_gnn_policy,16x9,10,181,1.629,1e-05,17.301,49.9776,0.0671,50.0,50.0,29.1944
ga_gnn_policy,16x9,10,181,1.629,0.0001,16.301,49.9226,0.1184,50.0,50.0,28.668
ga_gnn_policy,24x24,10,222,1.642,1e-08,20.301,47.7615,0.0001,47.7616,47.7616,26.702
ga_gnn_policy,24x24,10,222,1.642,1e-07,19.301,49.7007,0.0045,49.7044,49.7044,28.7503
ga_gnn_policy,24x24,10,222,1.642,1e-06,18.301,49.7044,0.0,49.7044,49.7044,28.816
ga_gnn_policy,24x24,10,222,1.642,1e-05,17.301,49.9266,0.2201,50.0,50.0,29.0884
ga_gnn_policy,24x24,10,222,1.642,0.0001,16.301,49.9157,0.1107,50.0,50.0,28.5178
ga_gnn_policy,40x40,10,270,1.954,1e-08,20.301,47.7682,0.0199,47.7616,47.828,26.7918
ga_gnn_policy,40x40,10,270,1.954,1e-07,19.301,49.7044,0.0,49.7044,49.7044,28.6195
ga_gnn_policy,40x40,10,270,1.954,1e-06,18.301,49.7408,0.0888,49.7044,50.0,29.0456
ga_gnn_policy,40x40,10,270,1.954,1e-05,17.301,49.9545,0.1366,50.0,50.0,29.1825
ga_gnn_policy,40x40,10,270,1.954,0.0001,16.301,49.9756,0.0732,50.0,50.0,29.0536
ga_gnn_policy,60x60,10,320,2.047,1e-08,20.301,47.7614,0.0001,47.7613,47.7616,26.7433
ga_gnn_policy,60x60,10,320,2.047,1e-07,19.301,49.657,0.136,49.7044,49.7044,28.5446
ga_gnn_policy,60x60,10,320,2.047,1e-06,18.301,49.7339,0.0887,49.7044,50.0,29.0529
ga_gnn_policy,60x60,10,320,2.047,1e-05,17.301,50.0,0.0,50.0,50.0,29.2665
ga_gnn_policy,60x60,10,320,2.047,0.0001,16.301,50.0,0.0,50.0,50.0,29.2659
ga_gnn_policy,80x80,10,400,2.587,1e-08,20.301,47.7614,0.0001,47.7613,47.7616,26.7329
ga_gnn_policy,80x80,10,400,2.587,1e-07,19.301,49.6989,0.0045,49.6952,49.7044,28.7634
ga_gnn_policy,80x80,10,400,2.587,1e-06,18.301,49.7339,0.0887,49.7044,50.0,29.1517
ga_gnn_policy,80x80,10,400,2.587,1e-05,17.301,50.0,0.0,50.0,50.0,29.3734
ga_gnn_policy,80x80,10,400,2.587,0.0001,16.301,50.0,0.0,50.0,50.0,29.3961
ga_gnn_policy,120x120,10,474,3.567,1e-08,20.301,47.7613,0.0,47.7613,47.7613,26.7611
ga_gnn_policy,120x120,10,474,3.567,1e-07,19.301,49.7007,0.0045,49.7044,49.7044,28.6102
ga_gnn_policy,120x120,10,474,3.567,1e-06,18.301,49.7339,0.0887,49.7044,50.0,29.25
ga_gnn_policy,120x120,10,474,3.567,1e-05,17.301,50.0,0.0,50.0,50.0,29.3263
ga_gnn_policy,120x120,10,474,3.567,0.0001,16.301,50.0,0.0,50.0,50.0,29.3813
ga_gnn_policy,120x120r40,40,478,3.664,1e-08,20.301,47.7613,0.0,47.7613,47.7613,26.7612
ga_gnn_policy,120x120r40,40,478,3.664,1e-07,19.301,49.7,0.0046,49.7044,49.7044,28.7003
ga_gnn_policy,120x120r40,40,478,3.664,1e-06,18.301,49.7709,0.1234,49.7044,50.0,29.1565
ga_gnn_policy,120x120r40,40,478,3.664,1e-05,17.301,50.0,0.0,50.0,50.0,29.3158
ga_gnn_policy,120x120r40,40,478,3.664,0.0001,16.301,50.0,0.0,50.0,50.0,29.3222
