method,method_label,n_pop,seed,fitness,feasible,wall_s,seed_ms,n_exact_eval,n_surrogate_eval,stopped_at_gen,frac_feasible_init,success
ga_gnn,GA + GNN surrogate,16,2033,31.847021,1,28.8811,0.000,2044,2722,252,0.0000,0
ga_gnn,GA + GNN surrogate,16,2034,44.568403,1,37.2527,0.000,2486,3227,300,0.0000,0
ga_gnn,GA + GNN surrogate,25,2025,27.281537,1,15.0560,0.000,1022,2217,121,0.0000,0
ga_gnn,GA + GNN surrogate,25,2026,47.408842,1,36.3537,0.000,2454,5782,300,0.0000,0
ga_gnn,GA + GNN surrogate,25,2027,33.657120,1,22.1880,0.000,1600,3739,192,0.0000,0
ga_gnn,GA + GNN surrogate,25,2028,28.099037,1,31.0102,0.000,2010,4632,245,0.0000,0
ga_gnn,GA + GNN surrogate,25,2029,33.118730,1,24.9293,0.000,1955,4557,239,0.0000,0
ga_gnn,GA + GNN surrogate,25,2030,47.761555,1,38.0644,0.000,2520,5717,300,0.0000,0
ga_gnn,GA + GNN surrogate,25,2031,27.550644,1,19.2636,0.000,1251,2804,151,0.0000,0
ga_gnn,GA + GNN surrogate,25,2032,27.156999,1,15.1452,0.000,1186,2538,142,0.0000,0
ga_gnn,GA + GNN surrogate,25,2033,21.929414,1,28.1957,0.000,1658,3757,202,0.0000,0
ga_gnn,GA + GNN surrogate,25,2034,30.783744,1,25.5133,0.000,1976,4462,240,0.0000,0
ga_gnn,GA + GNN surrogate,50,2025,41.483606,1,49.9923,0.000,2586,13079,300,0.0000,0
ga_gnn,GA + GNN surrogate,50,2026,27.043327,1,13.3893,0.000,821,4080,95,0.0000,0
ga_gnn,GA + GNN surrogate,50,2027,30.137547,1,29.6415,0.000,1943,9999,235,0.0000,0
ga_gnn,GA + GNN surrogate,50,2028,27.913815,1,34.3556,0.000,2046,10686,248,0.0000,0
ga_gnn,GA + GNN surrogate,50,2029,23.905456,1,11.5482,0.000,743,3477,72,0.0000,0
ga_gnn,GA + GNN surrogate,50,2030,36.178443,1,14.7877,0.000,1113,5720,128,0.0000,0
ga_gnn,GA + GNN surrogate,50,2031,47.761555,1,36.4427,0.000,2488,13318,300,0.0000,0
ga_gnn,GA + GNN surrogate,50,2032,49.704374,1,38.8698,0.000,2492,13385,300,0.0000,1
ga_gnn,GA + GNN surrogate,50,2033,30.224394,1,26.4380,0.000,1581,8325,186,0.0000,0
ga_gnn,GA + GNN surrogate,50,2034,23.810275,1,37.8679,0.000,2296,12145,274,0.0000,0
ga_gnn,GA + GNN surrogate,100,2025,49.704374,1,34.5269,0.000,2020,22424,239,0.0000,1
ga_gnn,GA + GNN surrogate,100,2026,49.369572,1,38.1019,0.000,2244,23914,259,0.0000,1
ga_gnn,GA + GNN surrogate,100,2027,49.704374,1,35.7784,0.000,2088,22917,246,0.0000,1
ga_gnn,GA + GNN surrogate,100,2028,48.120693,1,46.6126,0.000,2541,27962,300,0.0000,0
ga_gnn,GA + GNN surrogate,100,2029,49.704374,1,29.1338,0.000,1753,19225,208,0.0000,1
ga_gnn,GA + GNN surrogate,100,2030,27.156999,1,15.6780,0.000,965,9888,111,0.0000,0
ga_gnn,GA + GNN surrogate,100,2031,21.403015,1,33.2879,0.000,1679,16545,173,0.0000,0
ga_gnn,GA + GNN surrogate,100,2032,15.111190,1,24.4803,0.000,1179,12580,130,0.0000,0
ga_gnn,GA + GNN surrogate,100,2033,33.136524,1,36.3213,0.000,1932,20715,232,0.0000,0
ga_gnn,GA + GNN surrogate,100,2034,35.211231,1,45.1731,0.000,2498,27585,300,0.0000,0
ga_gnn,GA + GNN surrogate,200,2025,49.369572,1,38.4838,0.000,1667,36588,191,0.0000,1
ga_gnn,GA + GNN surrogate,200,2026,49.704374,1,40.8865,0.000,1639,35260,185,0.0000,1
ga_gnn,GA + GNN surrogate,200,2027,47.839504,1,58.3499,0.000,2496,55988,300,0.0000,0
ga_gnn,GA + GNN surrogate,200,2028,36.178443,1,34.8141,0.000,1524,33037,172,0.0000,0
ga_gnn,GA + GNN surrogate,200,2029,33.072356,1,19.8384,0.000,848,17447,89,0.0000,0
