method,method_label,point_index,wall_s,n_exact_eval,best_fitness
ga,GA (analytical model only),161,141.466324,28370,49.704374
ga,GA (analytical model only),162,142.220629,28546,49.704374
ga,GA (analytical model only),163,142.946745,28716,49.704374
ga,GA (analytical model only),164,143.711125,28891,49.704374
ga,GA (analytical model only),165,144.481213,29066,49.704374
ga,GA (analytical model only),166,145.211730,29232,49.704374
ga,GA (analytical model only),167,145.948963,29399,49.704374
ga,GA (analytical model only),168,146.733118,29580,49.704374
ga,GA (analytical model only),169,147.437599,29745,49.704374
ga,GA (analytical model only),170,148.186179,29919,49.704374
ga,GA (analytical model only),171,148.918545,30088,49.704374
ga,GA (analytical model only),172,149.670270,30260,49.704374
ga,GA (analytical model only),173,150.445523,30439,49.704374
ga,GA (analytical model only),174,151.184879,30607,49.704374
ga,GA (analytical model only),175,151.953055,30780,49.704374
ga,GA (analytical model only),176,152.690262,30949,49.704374
ga,GA (analytical model only),177,153.447054,31119,49.704374
ga,GA (analytical model only),178,153.989494,31244,49.704374
ga_gnn,GA + GNN surrogate,0,0.250945,8,-0.786711
ga_gnn,GA + GNN surrogate,1,0.377246,16,-0.615212
ga_gnn,GA + GNN surrogate,2,0.501836,24,-0.326263
ga_gnn,GA + GNN surrogate,3,0.584924,32,-0.045544
ga_gnn,GA + GNN surrogate,4,0.664700,40,-0.045544
ga_gnn,GA + GNN surrogate,5,0.744306,48,10.847284
ga_gnn,GA + GNN surrogate,6,0.828472,56,11.185373
ga_gnn,GA + GNN surrogate,7,0.907583,64,11.302235
ga_gnn,GA + GNN surrogate,8,0.992800,72,12.237265
ga_gnn,GA + GNN surrogate,9,1.081390,80,12.336404
ga_gnn,GA + GNN surrogate,10,1.165171,88,12.336404
ga_gnn,GA + GNN surrogate,11,1.252392,96,12.591108
ga_gnn,GA + GNN surrogate,12,1.341033,104,13.907166
ga_gnn,GA + GNN surrogate,13,1.422236,112,13.907166
ga_gnn,GA + GNN surrogate,14,1.506937,120,13.907166
ga_gnn,GA + GNN surrogate,15,1.589810,128,13.907166
ga_gnn,GA + GNN surrogate,16,1.669927,136,14.481183
ga_gnn,GA + GNN surrogate,17,1.757117,144,14.481183
ga_gnn,GA + GNN surrogate,18,1.837320,152,14.481183
ga_gnn,GA + GNN surrogate,19,1.920952,160,14.481183
ga_gnn,GA + GNN surrogate,20,2.004880,168,14.481183
ga_gnn,GA + GNN surrogate,21,2.096308,176,14.481183
ga_gnn,GA + GNN surrogate,22,2.224235,184,14.945467
ga_gnn,GA + GNN surrogate,23,2.321248,192,14.945467
ga_gnn,GA + GNN surrogate,24,2.409529,200,15.069246
ga_gnn,GA + GNN surrogate,25,2.519021,208,15.485989
ga_gnn,GA + GNN surrogate,26,2.649092,216,15.816809
ga_gnn,GA + GNN surrogate,27,2.734135,224,16.160184
ga_gnn,GA + GNN surrogate,28,2.816739,232,16.245272
ga_gnn,GA + GNN surrogate,29,2.901763,240,16.245272
ga_gnn,GA + GNN surrogate,30,2.989546,248,16.884441
ga_gnn,GA + GNN surrogate,31,3.079183,256,16.884441
